metagene_score,flag_yes_no
1119.694176,0
892.9338379,1
345.2098319,1
960.9485205,0
626.2502476,1
489.7667784,1
277.2409836,1
475.2908598,0
562.2546023,1
451.1378767,1
464.2817298,0
438.32884,0
540.6266433,1
390.1740497,0
525.0711044,0
302.6155057,0
1177.97,1
549.5606909,1
661.2447676,1
484.1003676,1
485.4621367,0
1023.428084,0
370.8821272,0
487.1202884,1
472.5763341,0
403.7110486,0
551.0255278,0
386.9999934,0
457.4829797,0
329.8523504,0
566.8926982,1
467.8326657,0
534.5919313,0
640.9767139,1
1408.78,0
606.5152246,0
500.2420794,1
315.8182201,0
455.1304798,0
657.0271237,1
664.9435173,1
415.4580753,0
512.1541553,0
569.8269092,1
580.682046,0
498.4809157,0
598.9932126,0
556.4206643,1
470.458762,1
619.1386308,1
